time,FLOW,SALT,TEMP,PHS_frp,PHS_frp_ads,OGM_dop,OGM_pop,OGM_don,NIT_amm,NIT_nit,OGM_docr,CAR_dic,CAR_pH,SIL_rsi
2000-04-01,0.263018,0,7.580854,2.64795,8.7855,3.4263,2.71035,23.0346,141.3456,230.34645,583.3333,5000,7.7,190
2000-04-02,0.270746,0,7.748432,2.6106,8.66175,3.378,2.6721,22.36425,140.3376,223.6422,583.3333,5000,7.7,190
2000-04-03,0.241828,0,7.908826,2.5347,8.4096,3.27975,2.5944,21.60585,138.2622,216.0588,583.3333,5000,7.7,190
2000-04-04,0.234488,0,8.079991,2.5038,8.30715,3.23985,2.56275,20.98635,137.40285,209.86365,583.3333,5000,7.7,190
2000-04-05,0.24497,0,8.256088,2.49015,8.26185,3.22215,2.5488,20.427,137.01135,204.2703,583.3333,5000,7.7,190
2000-04-06,0.230522,0,8.423923,2.4348,8.0781,3.15045,2.4921,19.7742,135.4542,197.74185,583.3333,5000,7.7,190
2000-04-07,0.468811,0,8.759058,3.2145,10.66545,4.1595,3.29025,21.054,155.73735,210.53955,583.3333,5000,7.7,190
2000-04-08,0.385753,0,8.92327,3.11025,10.31925,4.0245,3.18345,20.3118,153.1485,203.1177,583.3333,5000,7.7,190
2000-04-09,0.433322,0,9.141984,3.3144,10.9965,4.28865,3.3924,20.20305,158.0895,202.0311,583.3333,5000,7.7,190
2000-04-10,0.438438,0,9.341284,3.4044,11.2953,4.4052,3.48465,19.86165,160.19715,198.61725,583.3333,5000,7.7,190
2000-04-11,0.427276,0,9.524428,3.39105,11.2509,4.38795,3.47085,19.33665,159.84045,193.3668,583.3333,5000,7.7,190
2000-04-12,0.415154,0,9.698659,3.31905,11.0121,4.29465,3.3972,18.72105,158.08065,187.2099,583.3333,5000,7.7,190
2000-04-13,0.38056,0,9.865094,3.1989,10.61355,4.13925,3.2742,18.03645,155.13105,180.36495,583.3333,5000,7.7,190
2000-04-14,0.350999,0,10.028022,3.05985,10.1523,3.9594,3.132,17.3352,151.6545,173.352,583.3333,5000,7.7,190
2000-04-15,0.293525,0,10.185358,2.8944,9.603,3.7452,2.9625,16.602,147.4194,166.0197,583.3333,5000,7.7,190
2000-04-16,0.262044,0,10.356298,2.80245,9.29835,3.6264,2.8686,16.01805,144.99405,160.18125,583.3333,5000,7.7,190
2000-04-17,0.282718,0,10.555401,2.8515,9.4611,3.68985,2.9187,15.70005,146.2047,157.0008,583.3333,5000,7.7,190
2000-04-18,0.285088,0,10.735324,2.8008,9.29235,3.624,2.86665,15.2172,144.82605,152.172,583.3333,5000,7.7,190
2000-04-19,0.882253,0,11.108051,3.88275,12.8826,5.02425,3.97425,16.45035,170.5965,164.5032,583.3333,5000,7.7,190
2000-04-20,1.461353,0,11.431818,4.92465,16.33905,6.3723,5.0406,17.28495,192.15015,172.8489,583.3333,5000,7.7,190
2000-04-21,1.699856,0,11.698051,5.6298,18.67875,7.28475,5.7624,17.57565,205.41195,175.75605,583.3333,5000,7.7,190
2000-04-22,1.673915,0,11.897502,5.7084,18.93975,7.38645,5.84295,17.21055,206.7399,172.10565,583.3333,5000,7.7,190
2000-04-23,1.773516,0,12.091007,5.72475,18.9936,7.4076,5.8596,16.7958,206.9208,167.95845,583.3333,5000,7.7,190
2000-04-24,1.317234,0,12.241672,5.31705,17.64135,6.8802,5.4423,16.00185,199.26705,160.0182,583.3333,5000,7.7,190
2000-04-25,1.01289,0,12.387549,4.896,16.2441,6.33525,5.01135,15.2046,191.05815,152.046,583.3333,5000,7.7,190
2000-04-26,0.801475,0,12.533683,4.5102,14.96415,5.83605,4.6164,14.4498,183.2235,144.49875,583.3333,5000,7.7,190
2000-04-27,0.630425,0,12.677237,4.1361,13.72305,5.352,4.2336,13.7139,175.30755,137.13885,583.3333,5000,7.7,190
2000-04-28,0.50289,0,12.82904,3.8499,12.77355,4.98165,3.94065,13.0776,168.98805,130.77555,583.3333,5000,7.7,190
2000-04-29,0.43744,0,12.987326,3.6261,12.0309,4.692,3.7116,12.5184,163.86255,125.1846,583.3333,5000,7.7,190
2000-04-30,0.400078,0,13.153565,3.4653,11.4972,4.48395,3.5469,12.0396,160.05195,120.396,583.3333,5000,7.7,190
2000-05-01,0.372205,0,13.32397,3.33765,11.0739,4.3188,3.41625,11.60925,156.94515,116.09205,583.3333,5000,7.7,190
2000-05-02,0.320129,0,13.482827,3.1512,10.4553,4.0776,3.22545,11.1249,152.358,111.2496,583.3333,5000,7.7,190
2000-05-03,0.292454,0,13.646817,3.00435,9.96825,3.88755,3.07515,10.6953,148.63065,106.95315,583.3333,5000,7.7,190
2000-05-04,0.251117,0,13.808799,2.85645,9.4773,3.69615,2.9238,10.27455,144.78705,102.74475,583.3333,5000,7.7,190
2000-05-05,0.247478,0,13.979253,2.75925,9.15495,3.57045,2.82435,9.92145,142.17105,99.2151,583.3333,5000,7.7,190
2000-05-06,0.214982,0,14.141659,2.6301,8.7264,3.40335,2.69205,9.54165,138.66735,95.4165,583.3333,5000,7.7,190
2000-05-07,0.213785,0,14.314768,2.5578,8.48625,3.3096,2.61795,9.2364,136.6158,92.3637,583.3333,5000,7.7,190
2000-05-08,0.251582,0,14.540419,2.733,9.0675,3.5364,2.79735,9.21405,141.11715,92.14035,583.3333,5000,7.7,190
2000-05-09,0.346607,0,14.808383,3.1506,10.45305,4.0767,3.2247,9.4173,151.43595,94.173,583.3333,5000,7.7,190
2000-05-10,0.320786,0,14.992079,3.1329,10.39425,4.05375,3.2067,9.1857,150.8664,91.85745,583.3333,5000,7.7,190
2000-05-11,0.404174,0,15.229787,3.43185,11.38635,4.4406,3.5127,9.2406,157.78995,92.4066,583.3333,5000,7.7,190
2000-05-12,0.477955,0,15.465394,3.7506,12.44385,4.8531,3.83895,9.29055,164.8329,92.90535,583.3333,5000,7.7,190
2000-05-13,0.522492,0,15.679795,3.9543,13.1199,5.1168,4.04745,9.23685,169.10625,92.3688,583.3333,5000,7.7,190
2000-05-14,0.519832,0,15.857969,3.91785,12.99855,5.0694,4.0101,9.00675,168.14835,90.06705,583.3333,5000,7.7,190
2000-05-15,0.463589,0,16.014113,3.7407,12.411,4.84035,3.82875,8.68215,164.11395,86.8209,583.3333,5000,7.7,190
2000-05-16,0.399698,0,16.171352,3.58545,11.89605,4.6395,3.6699,8.38125,160.4853,83.81235,583.3333,5000,7.7,190
2000-05-17,1.720073,0,16.531532,4.92,16.3239,6.3663,5.03595,9.0636,187.94865,90.63645,583.3333,5000,7.7,190
2000-05-18,4.57157,0,16.955409,7.56,25.08315,9.7824,7.7382,10.15305,232.9713,101.5311,583.3333,5000,7.7,190
2000-05-19,5.135759,0,17.220941,8.81325,29.2413,11.40405,9.02085,10.42905,251.35215,104.29095,583.3333,5000,7.7,190
2000-05-20,3.796857,0,17.346477,8.0571,26.7324,10.4256,8.247,9.93105,240.00765,99.31065,583.3333,5000,7.7,190
2000-05-21,2.271017,0,17.427007,6.8244,22.6425,8.8305,6.9852,9.23535,220.5471,92.35305,583.3333,5000,7.7,190
2000-05-22,1.413325,0,17.51337,5.8548,19.4253,7.5759,5.99265,8.6241,203.96625,86.2407,583.3333,5000,7.7,190
2000-05-23,0.937072,0,17.606662,5.0979,16.91385,6.5964,5.2179,8.0922,190.0353,80.92215,583.3333,5000,7.7,190
2000-05-24,0.663602,0,17.70721,4.50795,14.95665,5.83305,4.61415,7.6317,178.4328,76.3173,583.3333,5000,7.7,190
2000-05-25,0.49926,0,17.81488,4.04775,13.4298,5.2377,4.14315,7.2339,168.82875,72.33855,583.3333,5000,7.7,190
2000-05-26,0.45995,0,17.955558,3.8619,12.813,4.9971,3.9528,6.9912,164.68395,69.9117,583.3333,5000,7.7,190
2000-05-27,0.686978,0,18.186176,4.3245,14.3478,5.5956,4.42635,7.1094,174.1047,71.0934,583.3333,5000,7.7,190
2000-05-28,0.996753,0,18.409767,4.797,15.9159,6.20715,4.9101,7.20975,183.19125,72.0981,583.3333,5000,7.7,190
2000-05-29,0.943083,0,18.587228,4.92435,16.33845,6.372,5.04045,7.13715,185.38365,71.3721,583.3333,5000,7.7,190
2000-05-30,1.198949,0,18.77559,5.1684,17.148,6.68775,5.2902,7.11705,189.70095,71.1699,583.3333,5000,7.7,190
2000-05-31,3.887847,0,19.097688,6.8694,22.7916,8.8887,7.03125,7.64535,218.56995,76.45395,583.3333,5000,7.7,190
2000-06-01,10.212333,0,19.485645,10.26675,34.06335,13.28475,10.50855,8.51865,267.10335,85.18695,583.3333,5000,7.7,190
2000-06-02,11.09337,0,19.695385,11.2896,37.4571,14.60835,11.55555,8.6256,279.7815,86.2554,583.3333,5000,7.7,190
2000-06-03,6.476225,0,19.751027,9.53265,31.6278,12.3348,9.7572,8.04645,256.65165,80.4648,583.3333,5000,7.7,190
2000-06-04,4.224994,0,19.805214,8.0586,26.73705,10.4274,8.24835,7.51065,235.5672,75.10575,583.3333,5000,7.7,190
2000-06-05,3.45,0,19.911162,7.48125,24.82185,9.68055,7.6575,7.2207,226.62645,72.20655,583.3333,5000,7.7,190
2000-06-06,2.459702,0,20.009509,6.88065,22.8291,8.9034,7.0428,6.92385,216.99855,69.23775,583.3333,5000,7.7,190
2000-06-07,1.818716,0,20.099689,6.2637,20.78205,8.10495,6.4113,6.6198,206.7084,66.1986,583.3333,5000,7.7,190
2000-06-08,1.344994,0,20.178067,5.6088,18.6093,7.2576,5.74095,6.2985,195.2796,62.9856,583.3333,5000,7.7,190
2000-06-09,1.020041,0,20.253094,5.01375,16.6347,6.4875,5.1318,5.99145,184.3188,59.9139,583.3333,5000,7.7,190
2000-06-10,0.801734,0,20.329868,4.5141,14.9769,5.841,4.6203,5.7138,174.5997,57.13875,583.3333,5000,7.7,190
2000-06-11,0.686865,0,20.421674,4.1892,13.89885,5.42055,4.28775,5.50335,167.92755,55.03305,583.3333,5000,7.7,190
2000-06-12,0.773938,0,20.566802,4.28235,14.20815,5.54115,4.3833,5.46675,169.5528,54.6675,583.3333,5000,7.7,190
2000-06-13,3.271938,0,20.885383,5.93655,19.69635,7.68165,6.07635,5.97915,199.50885,59.79105,583.3333,5000,7.7,190
2000-06-14,4.042805,0,21.143287,7.4382,24.6786,9.6246,7.6134,6.3351,223.119,63.3516,583.3333,5000,7.7,190
2000-06-15,4.130956,0,21.305814,7.93635,26.33175,10.26945,8.1234,6.38475,230.17065,63.84795,583.3333,5000,7.7,190
2000-06-16,3.141858,0,21.378329,7.281,24.1572,9.42135,7.45245,6.1401,220.0956,61.4016,583.3333,5000,7.7,190
2000-06-17,2.108409,0,21.421897,6.38325,21.17895,8.25975,6.5337,5.8236,205.7154,58.23525,583.3333,5000,7.7,190
2000-06-18,1.475331,0,21.465811,5.62605,18.6663,7.2798,5.7585,5.53425,192.7839,55.34175,583.3333,5000,7.7,190
2000-06-19,1.139241,0,21.518414,5.05755,16.7802,6.5442,5.17665,5.2938,182.46615,52.9374,583.3333,5000,7.7,190
2000-06-20,1.501437,0,21.654509,5.27685,17.508,6.82815,5.4012,5.3088,186.1245,53.088,583.3333,5000,7.7,190
2000-06-21,1.215315,0,21.741488,5.0826,16.8633,6.57675,5.2023,5.19375,182.37645,51.9369,583.3333,5000,7.7,190
2000-06-22,1.0097,0,21.816436,4.81845,15.98685,6.2349,4.932,5.05785,177.2847,50.57805,583.3333,5000,7.7,190
2000-06-23,0.86017,0,21.886028,4.54845,15.0912,5.88555,4.6557,4.92075,171.9645,49.2078,583.3333,5000,7.7,190
2000-06-24,0.957364,0,21.992188,4.5963,15.24975,5.94735,4.7046,4.8933,172.6104,48.933,583.3333,5000,7.7,190
2000-06-25,0.911345,0,22.080108,4.52355,15.0084,5.8533,4.63005,4.8276,170.9742,48.27645,583.3333,5000,7.7,190
2000-06-26,0.792318,0,22.150933,4.34475,14.4153,5.622,4.4472,4.72845,167.29275,47.28405,583.3333,5000,7.7,190
2000-06-27,0.69623,0,22.209051,4.10385,13.6161,5.3103,4.2006,4.60875,162.31965,46.0872,583.3333,5000,7.7,190
2000-06-28,0.662017,0,22.286712,4.0302,13.3713,5.2149,4.125,4.5495,160.6038,45.49425,583.3333,5000,7.7,190
2000-06-29,0.63018,0,22.350893,3.88725,12.8973,5.02995,3.97875,4.46745,157.4778,44.6739,583.3333,5000,7.7,190
2000-06-30,0.553587,0,22.40087,3.6783,12.204,4.75965,3.765,4.36215,152.9331,43.62195,583.3333,5000,7.7,190
2000-07-01,0.48644,0,22.441267,3.44205,11.42025,4.4538,3.5232,4.2462,147.6903,42.46245,583.3333,5000,7.7,190
2000-07-02,0.84728,0,22.594969,3.936,13.05915,5.0931,4.0287,4.40565,157.74945,44.05665,583.3333,5000,7.7,190
2000-07-03,0.962391,0,22.735823,4.4259,14.68455,5.727,4.53015,4.54845,167.076,45.48495,583.3333,5000,7.7,190
2000-07-04,0.893568,0,22.82328,4.56465,15.14475,5.9064,4.6722,4.57155,169.4304,45.71565,583.3333,5000,7.7,190
2000-07-05,0.834503,0,22.880192,4.49145,14.90175,5.8116,4.5972,4.5291,167.80485,45.29115,583.3333,5000,7.7,190
2000-07-06,0.747605,0,22.91499,4.27815,14.1942,5.53575,4.37895,4.4433,163.5051,44.43315,583.3333,5000,7.7,190
2000-07-07,0.624455,0,22.931487,3.97095,13.1748,5.13825,4.0644,4.32555,157.2573,43.25535,583.3333,5000,7.7,190
2000-07-08,0.519094,0,22.939503,3.6528,12.1197,4.72665,3.7389,4.20075,150.5685,42.00705,583.3333,5000,7.7,190
2000-07-09,0.693476,0,23.030014,3.89415,12.9204,5.03895,3.98595,4.27575,155.25555,42.7578,583.3333,5000,7.7,190
2000-07-10,1.487434,0,23.218126,4.93695,16.38015,6.3882,5.0532,4.59825,174.6537,45.9819,583.3333,5000,7.7,190
2000-07-11,1.262768,0,23.287781,5.1354,17.03835,6.645,5.2563,4.64805,177.8796,46.47975,583.3333,5000,7.7,190
2000-07-12,1.197066,0,23.329192,5.118,16.9809,6.6225,5.2386,4.63755,177.3132,46.37565,583.3333,5000,7.7,190
2000-07-13,1.034997,0,23.336243,4.8363,16.0461,6.258,4.9503,4.55235,172.0839,45.52365,583.3333,5000,7.7,190
2000-07-14,0.810709,0,23.316325,4.38855,14.56065,5.6787,4.49205,4.4139,163.64265,44.1396,583.3333,5000,7.7,190
2000-07-15,0.624544,0,23.286893,3.9405,13.074,5.0988,4.03335,4.2672,154.79235,42.6723,583.3333,5000,7.7,190
2000-07-16,0.49819,0,23.257335,3.558,11.80485,4.60395,3.64185,4.1343,146.83215,41.34285,583.3333,5000,7.7,190
2000-07-17,0.412638,0,23.230027,3.24375,10.7625,4.1973,3.32025,4.0194,139.9608,40.1934,583.3333,5000,7.7,190
2000-07-18,0.324226,0,23.202051,2.9712,9.85815,3.84465,3.04125,3.915,133.7256,39.1497,583.3333,5000,7.7,190
2000-07-19,0.2908,0,23.186257,2.7954,9.27495,3.61725,2.86125,3.84735,129.5001,38.47365,583.3333,5000,7.7,190
2000-07-20,0.282579,0,23.17325,2.65815,8.81955,3.43965,2.72085,3.7953,126.08175,37.9533,583.3333,5000,7.7,190
2000-07-21,0.262115,0,23.155266,2.5209,8.364,3.2619,2.5803,3.74235,122.589,37.4241,583.3333,5000,7.7,190
2000-07-22,0.247074,0,23.136177,2.40015,7.9635,3.10575,2.4567,3.69645,119.43225,36.9645,583.3333,5000,7.7,190
2000-07-23,0.231039,0,23.114258,2.28765,7.59,2.9601,2.3415,3.65385,116.41695,36.5379,583.3333,5000,7.7,190
2000-07-24,0.225938,0,23.093773,2.19855,7.2945,2.8449,2.2503,3.6228,113.9559,36.22755,583.3333,5000,7.7,190
2000-07-25,0.189013,0,23.053652,2.05485,6.8178,2.6589,2.1033,3.56175,109.99515,35.6181,583.3333,5000,7.7,190
2000-07-26,0.208994,0,23.0635,2.10525,6.9849,2.72415,2.1549,3.6072,111.1887,36.0717,583.3333,5000,7.7,190
2000-07-27,0.208008,0,23.041689,2.0547,6.81705,2.6586,2.103,3.59865,109.6857,35.98695,583.3333,5000,7.7,190
2000-07-28,0.169933,0,22.995929,1.93575,6.42225,2.5047,1.98135,3.55155,106.30005,35.51625,583.3333,5000,7.7,190
2000-07-29,0.179055,0,22.992321,1.9722,6.5436,2.55195,2.0187,3.5952,107.1603,35.95215,583.3333,5000,7.7,190
2000-07-30,0.212396,0,23.007226,2.08665,6.9234,2.70015,2.13585,3.68475,110.0964,36.84795,583.3333,5000,7.7,190
2000-07-31,0.217866,0,22.991129,2.10555,6.98565,2.72445,2.15505,3.72165,110.44695,37.21605,583.3333,5000,7.7,190
2000-08-01,0.333871,0,23.075588,2.54025,8.4279,3.28695,2.6001,3.9798,121.2177,39.79875,583.3333,5000,7.7,190
2000-08-02,0.277785,0,23.024742,2.44275,8.1048,3.16095,2.50035,3.9621,118.704,39.621,583.3333,5000,7.7,190
2000-08-03,0.238754,0,22.955722,2.29005,7.59825,2.96325,2.34405,3.91425,114.76605,39.14295,583.3333,5000,7.7,190
